"Zeitstempel","Bitte geben Sie das Land und die Stadt an, in der Sie arbeiten:","Bitte kreuzen Sie Ihr Geschlecht an:						","Welcher der folgenden Altersgruppen gehören Sie an?","In welcher der folgenden Einrichtungen sind Sie beschäftigt:","In welcher Beziehung stehen Sie zu der/den pflegenden Person/en?","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich habe Spaß daran neue Technologien auszuprobieren.]","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich sehe keine Notwendigkeit für neue Technologien.]","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich habe Angst vor Veränderung durch neue Technologien.]","Welche Maßnahmen zur Verhinderungen von Stürzen haben Sie in Ihrer Einrichtung bereits ergriffen?","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Der Sturz muss mit einer Genauigkeit von über 90% erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Es darf kein Fehlalarm ausgelöst werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch im Dunkeln erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch erkannt werden, wenn sich mehrere Personen im Zimmer aufhalten.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss indoor als auch outdoor erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch erkannt werden, wenn die Person durch Möbelstücke verdeckt wird.]","Sonstiges:","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte sich mit der Kamera frei im Raum bewegen können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einen Sturzalarm per Email an die Pflegeperson versenden können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einen Sturzalarm per Anruf/SMS an die Pflegeperson versenden können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einer Person nicht zu nah kommen, um keine Stolperquelle zu sein.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte eine Tierform annehmen um eine höhere Akzeptanz der Bewohner zu erlangen.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte selbstständig zur Ladestation zurückkehren]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte eine möglichst lange Betriebszeit haben.]","Wie lange sollte die Betriebszeit sein?","Sonstiges","Wo könnten Sie sich einen Einsatz des Roboters am ehesten vorstellen?","Wie teuer darf ein Sturzdetektionssystem Ihrer Meinung nach sein?","Die Zahlung sollte erfolgen:","Ist Ihrer Meinung nach ein Einsatz eines Roboters zur Sturzerkennung sinnvoll (mit Begründung)?","Welche Verbesserungen könnten Sie sich vorstellen?","Könnten Sie sich weitere nützliche Funktionen des Roboters vorstellen und wenn ja, welche?"
"2022/05/26 8:48:43 PM OEZ","Bayern, Aschau","weiblich","36-40","Altenheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Sensormatte, Sensorleiste, Safe Bag, Niederflurbetten","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","Ja sinnvoll. Eine Pflegekraft kann nicht immer überall gleichzeitg sein, besonders im Nachtdienst. Stürz oft zwischen 3 und 5 Uhr am morgen, oft nach dem Rundgang bei der betreffenden Person.","","Beruhigende Musik oder auch Tierstimmen zur Beruhigung nachtaktiver Bewohner(wenn keine Angst vor Tieren wie Hunden besteht) oder bei depressiven und stark dementen Bewohner."
"2022/05/27 3:20:02 PM OEZ","Deutschland, Prien am Chiemsee","weiblich","51-60","Altenheim","beruflich","2","3","2","Niederflorbetten, Sensormatten, Bett Exit-Boxen, mobiler Notruf (Funkfinger), Easywalker, Rollatoren, präventive Gymnastik, richtige Beleuchtung, Handläufe, richtiges Schuhwerk, Beratungen, Beseitigung von Stolperquellen","3","2","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","12 Student wäre eine gute Zeitspanne","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","Flächendeckend eher nicht, aber für eine gewisse Klientel durchaus vorstellbar (z. B. mittelgradige bis vorgeschrittener Demenz, sowohl im häuslichen, als auch stationären Bereich)","Die Konstruktion wirkt sehr zierlich und zerbrechlich, etwas robusteres wäre nicht schlecht. Auch ein ""Fell"", das die Mechanik versteckt, könnte evtl. die Akzeptanz erhöhen.","Erinnerung an gewisse Tätigkeiten - z. B. Zeit um Medikamente zu nehmen, auf die Toilette zu gehen, zu Mittagessen, oder anderen Aktivitäten zu gehen. ""Gassi"" gehen (Mobilitätsförderung)"
"2022/05/28 9:16:32 AM OEZ","Österreich, Linz","männlich","36-40","Häusliche Pflege","privat","3","1 - gar nicht","1 - gar nicht","Haltegriffe","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","2","2","4 - sehr wichtig","","3","1 - unwichtig","4 - sehr wichtig","3","1 - unwichtig","4 - sehr wichtig","3","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","einmalig","Ja, da vor allem in der häuslichen Pflege nicht immer die Person unter Beobachtung stehen kann (zb. Einkäufe erledigen, Hausarbeit, etc.)","Die Gewissheit, dass man Stürze schneller erkennt und man nicht immer proaktiv nachsehen muss ob es der Person gut geht.","integrierter Sprachassistent wie Alexa"
"2022/05/28 10:13:37 AM OEZ","Deutschland Duisburg","männlich","25-30","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","2","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","> 1.000 €","in monatlichen Raten","","","Patientenaufrichter, bei z.b einer Größeren Tierform "
"2022/05/28 3:06:23 PM OEZ","NEW Krefeld ","weiblich","51-60","Krankenhaus","beruflich","3","1 - gar nicht","1 - gar nicht","Bettgitter","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","","2","3","3","4 - sehr wichtig","2","1 - unwichtig","1 - unwichtig","> 24 Stunden","","Pflegeheim","100 € - 500 €","in monatlichen Raten","Keine Ahnung ","",""
"2022/05/30 9:39:32 PM OEZ","83229 Aschau i. Chiemgau / Deutschland","weiblich","46-50","Tagespflege/ teilstationär","beruflich","3","2","2","Hell beleuchtete, barrierefreie Wege, keine Hindernisse, gymnastische Sturzprophylaxe, Mobilitätsförderung, Hilfestellung durch PP","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","Sobald sich zusätzliche Personen im Raum befinden, sollte das Sturzrisiko verringert sein","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","< 100 €","","Es würde Sinn machen, wenn dieser Roboter keine Gefahrenquelle darstellt","Weiß es nicht, da ich diese Gerätschaft nicht kenne","Vielleicht ähnliches, wie ein Hausnotruf"
"2022/05/30 10:01:47 PM OEZ","Aschau ","weiblich","51-60","Tagespflege ","beruflich","3","4 - sehr","2","Handläufe, Sturzprophelaxe  Gymnastik","2","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","2","","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","3","> 8 Stunden","","Altenheim;Häusliche Pflege","> 500 €","einmalig","Personen die länger allein sind ist es sehr hilfreich ","Einfach mal mit zu pflegenden Personen ausprobieren, dann kann man die Reaktion ect beurteilen. ","Vorwarnung des Patienten bei Stolperfallen"
"2022/05/30 10:08:23 PM OEZ","Deutschland krefeld ","weiblich","31-35","Krankenhaus","beruflich","3","2","1 - gar nicht","Niederflurbett","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","3","3","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","","",""
"2022/06/01 12:30:35 AM OEZ","Deutschland, Krefeld ","weiblich","25-30","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Bettgitter, tiefe Betten, Multicarbetten mit Funktion der Erkennung beim aufstehen von Patienten, Fixierungen ","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 1.000 €","einmalig","Ja, vor allem im häuslichen Bereich. Es dient der Sicherheit und könnte vor allem zum Beispiel lange Liegetraumen verhindern. ","Schnellere Sturzerkennung ","Erinnerungen an Medikamenteneinnahme und Ähnliches "
"2022/06/01 9:36:44 AM OEZ","Bad Aibling ","männlich","51-60","Häusliche Pflege","privat","3","1 - gar nicht","1 - gar nicht","Begleitperson ","2","4 - sehr wichtig","3","3","3","3","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","2","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 1.000 €","in monatlichen Raten","","",""
"2022/06/01 1:07:52 PM OEZ","Deutschland Wasserburg am Inn ","männlich","36-40","Krankenhaus","beruflich","2","2","2","Alles was ein Sturz verhindern kann entfernen","2","2","2","2","2","2","","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","> 4 Stunden","","Altenheim","> 1.000 €","einmalig","Alles was den PP und Pat helfen kann ist gut","💁🏻‍♂️","Nein"
"2022/06/01 2:45:51 PM OEZ","Deutschland, Dortmund ","männlich","36-40","Wohnheim (GB-Bereich)","beruflich","4 - sehr","2","2","Hindernisse aus dem Weg räumen, adäquates Schuhwerk","3","3","4 - sehr wichtig","3","2","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","3","3","3","3","3","> 8 Stunden","","Altenheim;Häusliche Pflege","100 € - 500 €","einmalig","Ich denke das der Einsatz, speziell während der Nachtschicht in Altenheimen sinnvoll sein kann. Stürze könnten so schneller entdeckt, wichtige Zeit gewonnen werden. ","Problem des Zugangs in die einzelnen Zimmer muss gelöst werden. Falls es z.B. einen Sturz im Badezimmer gibt.","Soziale Interaktionen sollten möglich sein ohne dabei selber Stürze zu verursachen. Z.B. durch erkennen von sitzenden Personen, (Kontakt erlaubt), Person steht auf ( sofort Abstand halten. 
Weiterhin Personal kontaktieren bei Hilferufen oder bestimmten Signalen. 
Licht z.B. den Weg vom Bett zum Badezimmer beleuchten. "
"2022/06/01 10:31:46 PM OEZ","Deutschland Wasserburg am Inn ","männlich","31-35","Krankenhaus","beruflich","2","1 - gar nicht","1 - gar nicht","Festes Schuhwerk ","2","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","3","3","3","2","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 500 €","in monatlichen Raten","Ja, verhindert das stürzen der Patienten ","",""
"2022/06/02 11:16:32 AM OEZ","Wasserburg am Inn, Deutschland","männlich","15-20","Psychiatrie","beruflich","4 - sehr","4 - sehr","2","Ausreichende Beleuchtung, Hilfsmittel wie FreeWalker oder Rollator, Patienten festes Schuhwerk anziehen, Stolperfallen minimieren","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim","> 500 €","einmalig","Auf jeden Fall, da damit menschliches Personal stark entlastet werden könnte. Problematisch könnte es werden, wenn das Fachpersonal sich zu sehr auf die Technik verlässt und selber unaufmerksam wird.","/","Dass der Roboter Risikofaktoren für Stürze erkennt und diese mitteilt. (Raum sehr dunkel, Schuhe die vor dem Bett stehen z.B.)"
"2022/06/03 1:28:07 PM OEZ","Deutschland ","männlich","31-35","Wohnstätte für Menschen mit Behinderung ","beruflich","2","2","2","Rollator, Schuhwerk ","2","2","2","2","2","1 - unwichtig","","3","3","3","3","3","3","3","> 24 Stunden","","Altenheim;Pflegeheim;Krankenhaus","> 1.000 €","einmalig","","",""
"2022/06/03 1:31:09 PM OEZ","","weiblich","36-40","Wohnheim","beruflich","3","2","2","Stolperfallen behoben ","3","2","3","3","1 - unwichtig","3","","3","1 - unwichtig","3","3","2","3","3","> 8 Stunden","","Häusliche Pflege","100 € - 500 €","in monatlichen Raten","","",""
"2022/06/03 3:50:07 PM OEZ","Deutschland, Dortmund ","weiblich","21-24","Pflegeheim","Unbekannt","4 - sehr","3","2","Konventionelle Methoden","3","2","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","3","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim","> 500 €","in monatlichen Raten","Ja, um das Pflegepersonal zu entlasten ","",""
"2022/06/05 4:36:53 PM OEZ","Deutschland Bochum ","weiblich","41-45","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Bettgitter","3","3","3","3","3","3","Ich arbeite auf der Intensivstation, da sind die Patienten unter stetiger Aufsicht ","3","2","3","4 - sehr wichtig","3","3","3","> 24 Stunden","","Altenheim;Krankenhaus;Häusliche Pflege","> 500 €","in monatlichen Raten","Ich denke es ist sinnvoll in einem Umfeld wo man direkt eingreifen und den Sturz verhindern könnte","",""
"2022/06/06 8:22:21 PM OEZ","Deutschland, Rosenheim","weiblich","15-20","Krankenhaus","beruflich","2","3","3","Feste Schuhe, Licht anschalten, Hindernisse beseitigen, Rollator/andere Gehhilfen bereitstellen, Person stützen, Zum langsamen Aufstehen anleiten","3","2","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","","3","2","3","4 - sehr wichtig","3","2","3","","","Altenheim;Häusliche Pflege","> 500 €","einmalig","Ich finde es sinnvoll, da viele Menschen schwer stürzen können und selbst nicht in der Lage sind, Hilfe zu holen. Eventuell werden sie dann erst von jemandem aufgefunden, wenn es schon zu spät ist, z. B. bei einer Hirnblutung.","Der Roboter könnte nicht nur eine Nachricht an die Pflegeperson senden, sondern auch an Nachbarn oder Verwandte, je nachdem, wer in der Nähe der gestürzten Person ist und ihr am schnellsten helfen könnte.","Nachts strahlt der Roboter bei Bewegung (wenn die Person z. B. auf die Toilette muss) etwas Licht (nicht zu grell) aus, dass die Person den Weg zum Lichtschalter findet und nicht auf dem Weg dorthin stürzt."
"2022/06/06 9:33:38 PM OEZ","Deutschland, Rosenheim","männlich","51-60","Mehreren:1,3,4","beruflich und privat","4 - sehr","2","2","Alle von RKI empfohlene Sturzprophylaxe Maßnhahmen","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","1 - unwichtig","1 - unwichtig","1 - unwichtig","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Bei Menschen, denen keine Ahnung der Grundursachen und Grundziele von Pflege haben","100 € - 500 €","in monatlichen Raten","Sinnloss.Die Patienten , Kunden brauchen Menschliche Zuneigung, Liebe,Berührung, Seelen und Körperpflege.Ausser die Robote wäre selbst eine Sturzgefähr.","Diese Projekt abzubrechen und vorerst selbst mehrere Jahren in der Pflege arbeiten , Erfahrungen und Meinungen von Betroffenen sammeln.","Robote als Kinderspielzeug."
"2022/06/07 1:16:44 PM OEZ","Tirol, Kramsach","männlich","51-60","Pflegeheim","beruflich","3","1 - gar nicht","1 - gar nicht","Assessment, Sensormatte, Bewegungssensor, Begleitung, Niederflurbett","3","2","3","3","3","3","","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim","> 1.000 €","einmalig","Alles was einen Sturz verhindert ist sinnvoll","","Demenz Überwachung"
"2022/06/07 1:34:58 PM OEZ","Deutschland, Rosenheim","weiblich","21-24","Krankenhaus","beruflich","3","1 - gar nicht","1 - gar nicht","","3","2","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","","3","3","4 - sehr wichtig","3","3","3","3","> 8 Stunden","","Altenheim;Häusliche Pflege","> 1.000 €","in monatlichen Raten","","",""
"2022/06/07 8:34:47 PM OEZ","Deutschland, Krefeld","weiblich","36-40","Krankenhaus","beruflich","2","2","2","Bodenpflege","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","3","> 24 Stunden","Die Betriebszeit ist unrelevant, wenn man einen zweiten Roboter oder einen Ersatz Akku hat.","Altenheim;Pflegeheim;Häusliche Pflege","> 1.000 €","einmalig","Ich denke schon, vor allem in Pflege- und Altenheimen, wo meist nur eine Pflegekraft, gerade Nachts, im Haus ist.","",""
"2022/06/09 12:15:09 AM OEZ","Mexiko-Stadt, Mexiko","weiblich","25-30","Krankenhaus","privat","2","2","1 - gar nicht","mehr Hilfspersonal haben","2","1 - unwichtig","2","2","2","1 - unwichtig","Keine","2","4 - sehr wichtig","3","2","3","2","3","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","> 500 €","in monatlichen Raten","nicht an meinem Herkunftsort","Energie optimieren","Nein, keine Idee."
"2022/06/09 12:56:34 AM OEZ","poland","weiblich","36-40","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","none","3","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","3","3","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim","> 500 €","in monatlichen Raten","","",""
"2022/06/09 4:38:19 AM OEZ","Mexiko Stadt","weiblich","25-30","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","2","","4 - sehr wichtig","3","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","Ich halte das für sehr hilfreich, weil man nicht immer in Begleitung ist oder ein Unfall passieren kann, der uns bewusstlos macht.","Eine bessere Kamera und ein besseres Mikrofon haben, um die Person im Auge zu behalten oder ihre Aufmerksamkeit im Falle eines Unfalls auf sich zu ziehen","Feststellung von Vitalzeichen
"
"2022/06/09 8:38:53 AM OEZ","Athen - Griechenland","männlich","25-30","Arztpraxis","beruflich","4 - sehr","2","1 - gar nicht","Die Einrichtung hat keine Treppen, und sie ist freundlich gegenüber Behinderten.","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Häusliche Pflege","100 € - 500 €","einmalig","Ja.","",""
"2022/06/09 8:48:29 AM OEZ","Polen, Posen","männlich","21-24","Krankenhaus","beruflich","2","1 - gar nicht","1 - gar nicht","Gehwagen für Patienten, die Aufmerksamkeit benötigen, Halterungen in Toiletten","4 - sehr wichtig","2","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","","3","2","4 - sehr wichtig","3","3","3","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 500 €","in monatlichen Raten","Ja, ein Fallen hat eine Reihe von Problemen. Ältere Menschen haben sehr ""brüchige"" Knochen","längere Arbeitszeiten, im Dunkeln sehen",""
"2022/06/09 8:57:45 AM OEZ","Deutschland - Kiel","weiblich","31-35","Krankenhaus","beruflich","2","2","3","Farbige Markierungen an Schwellen","2","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","2","1 - unwichtig","4 - sehr wichtig","3","3","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 1.000 €","in monatlichen Raten","Ja, er könnte Leben retten","Bessere Lebensqualität","Reagiert auf Sprachbefehle"
"2022/06/09 9:28:12 AM OEZ","Deutschland ","weiblich","15-20","Altenheim","beruflich","3","3","3","Unter die Arme gegriffen ","3","3","3","3","3","4 - sehr wichtig","","3","3","3","3","3","3","3","> 4 Stunden","","Krankenhaus;Häusliche Pflege","100 € - 500 €","einmalig","","",""
"2022/06/09 9:58:33 AM OEZ","Schweiz, Visp","männlich","31-35","Pharmaunternehmen","privat","3","1 - gar nicht","1 - gar nicht","keine","4 - sehr wichtig","3","4 - sehr wichtig","2","3","4 - sehr wichtig","","2","4 - sehr wichtig","4 - sehr wichtig","3","2","3","3","> 2 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","> 500 €","einmalig","Ja, es bietet der zu pflegenden Person mehr Sicherheit und entlastet die Pflegekräfte, die sich vorraussichtlich nicht auf eine Verbesserung ihrer Arbeitsbedingungen einstellen können.","","Sprachsteuerung, Kommunikation mit Pflegekräften"
"2022/06/09 11:08:44 AM OEZ","Lissabon, Portugal","weiblich","21-24","Krankenhaus","beruflich","3","1 - gar nicht","2","Wir sind vorsichtig mit Medikamenten, die Stürze als Nebenwirkungen haben können. Die Betten im Krankenhaus sind so gebaut, dass sie Stürze verhindern.","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","2","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","Ich bin mir nicht sicher. Ich denke, es würde ausreichen, wenn ein anderer Arbeiter präsenter wäre oder dafür Kameras einsetzte.","Dass es Stürze leichter verhindern und erkennen kann.","Vielleicht andere Dinge außer Stürzen erkennen. Wie Atemfrequenz und so weiter."
"2022/06/09 11:48:07 AM OEZ","Deutschland","männlich","25-30","Pflegeheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Keine abgetragenen Schuhe, Festhalte Möglichkeiten an den Wänden. ","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","Es ist besser wenn es mal einen Fehlalarm gibt als wenn es einmal zu wenig alarmiert. ","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","Es wäre natürlich gut, wenn es so lange wie möglich nicht aufgeladen werden muss. ","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","> 1.000 €","einmalig","Ich denke dies wäre eine sehr gute Investition. ","Das der Roboter die Patienten unterstützen kann selbst wieder aufzustehen. ","Das der Roboter dazubin der Lage ist die schwere des Sturzes einzuschätzen. "
"2022/06/09 4:13:19 PM OEZ","Österreich, Innsbruck","weiblich","51-60","Pflegeheim","beruflich","2","1 - gar nicht","1 - gar nicht","Extra Treppengeländer","2","1 - unwichtig","3","3","3","3","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","2","3","> 4 Stunden","","Pflegeheim;Krankenhaus","> 500 €","einmalig","es kann definitiv einen sinnvollen Beitrag dazuleisten, finde ich.","/","eventuelle Lieferung von Getränken an die Pflegeheim-Gäste"
"2022/06/09 4:21:42 PM OEZ","Deutschland, Bremen","weiblich","21-24","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Klingelmatten, Bewegungssensoren, Bodenpflege, Niederflurbett, Bettseitenteile hochstellen mit Einverständnis von Angehörigen oder zu Pflegenden","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","","3","1 - unwichtig","4 - sehr wichtig","2","2","2","3","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","Ja, da Pflegekräfte nicht dauerhaft neben den Klient*innen stehen kann um diesen zu überwachen. Ebenfalls wissen die Klient*innen bescheid, dass wenn sie stürzen sollten, definitiv jemand kommen wird, da dieser Roboter ja an die Pflegekraft meldet","",""
"2022/06/09 6:00:22 PM OEZ","Langenfeld","weiblich","25-30","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","2","sicheres Schuhwerk, Sturzmatte vor dem Bett, Griffe, Gehhilfen, Bettgitter, ..","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus","> 500 €","in monatlichen Raten","Wäre sinnvoll, da es in den Einrichtungen oft stressig ist und man nicht regelmäßig nach Patienten schauen kann","",""
"2022/06/09 6:42:20 PM OEZ","Polen, Breslau","männlich","15-20","Altenheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim","> 500 €","in monatlichen Raten","","",""
"2022/06/09 7:21:24 PM OEZ","Deutschland, Bonn","weiblich","21-24","Apotheke","beruflich","3","1 - gar nicht","1 - gar nicht","Gehhilfen, Krüken ","4 - sehr wichtig","2","4 - sehr wichtig","2","3","4 - sehr wichtig","","3","2","4 - sehr wichtig","3","1 - unwichtig","2","3","> 24 Stunden","Betriebszeit so, dass über Nacht laden reicht.","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Nicht schlecht, aber es gibt auch Panikknöpfe, die der Patient selbst betätigen kann. Kommt auf den Patient an, auf die Compliance und den Zustand, auch geistig.","",""
